s[m],betax[m],betay[m],dx[m],alphax[-],alphay[-],dpx[-]
26.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
27.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
27.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
28.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
28.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
29.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
29.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
29.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
30.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
30.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
31.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
31.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
31.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
31.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
32.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
32.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
33.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
33.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
34.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
34.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
34.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
35.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
35.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
36.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
36.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
36.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
36.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
37.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
37.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
38.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
38.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
39.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
39.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
39.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
40.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
40.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
41.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
41.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
41.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
41.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
42.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
42.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
43.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
43.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
44.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
44.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
44.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
45.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
45.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
46.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
46.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
46.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
46.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
47.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
47.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
48.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
48.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
49.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
49.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
49.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
50.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
50.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
51.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
51.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
51.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
51.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
52.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
52.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
53.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
53.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
54.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
54.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
54.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
55.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
55.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
56.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
56.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
56.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
56.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
57.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
57.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
58.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
58.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
59.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
